date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:48	80201/80201	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-04-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-04-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:51:58	102965/102965	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-02-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-02-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:52:12	69970/69970	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-01-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-01-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:52:29	71733/71733	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-03-705x409.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-03-705x409.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:52:42	640780/640780	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-04.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-04.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:52:59	81992/81992	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/p-khach-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/p-khach-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:53:31	587977/587977	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-01.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-01.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:53:31	356310/356310	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/p-khach.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/p-khach.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:53:48	85610/85610	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/master-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/master-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:53:48	764691/764691	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-02.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/07/anh-tien-ich-isg-02.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:01	367386/367386	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/master.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/master.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:02	78186/78186	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-%c4%83n-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-%c4%83n-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:16	72426/72426	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-kh%c3%a1ch-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-kh%c3%a1ch-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:20	73802/73802	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-t%e1%ba%afm-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-t%e1%ba%afm-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:32	58315/58315	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-thu-nh%e1%bb%8f-705x470.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-thu-nh%e1%bb%8f-705x470.jpg	(from http://imperiaskygardennminhkhai.vn/)
23:54:32	331424/331424	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20May%202019%2014:48:43%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-%c4%83n.jpg	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/uploads/2018/11/ph%c3%b2ng-%c4%83n.jpg	(from http://imperiaskygardennminhkhai.vn/)
